job_url,job_descriptions,search_term,city
https://www.themuse.com/jobs/homeadvisor/senior-javascript-developer,"HomeAdvisor is looking for a senior-level JavaScript Developer to join our Software Development team. In general, we are looking for someone who has experience working on public-facing web properties, and being part of a fast-paced, fun-loving team. Our environment can be fun, loose, iterative, and even chaotic at times - you've been warned.

What you will be doing:
Code every day in HTML, CSS, and JavaScript/jQuery to make our site highly interactive
Integrate client-side code with web services, social platforms, and our Java-based infrastructure
Produce pixel-perfect layouts and sites from mock-ups provided by key business partners in Creative Design, UX/UI, and Product Development
Work on progressive redesign and maintenance projects that have an immediate impact on how our customers experience our brand every day

Why we think you'll like working here:
HomeAdvisor.com is the industry-leading online marketplace connecting homeowners to pre-qualified home improvement resources in their area - a homeowner turns to HomeAdvisor every 5 seconds for help.
We're one of Denver's largest internet companies, and our employees have voted us to the Denver Post's list of Top Workplaces for 5 years running.
You have a direct impact on our customer experience every single day.
We're not afraid to make mistakes, and figure out how we can be better in time for the next release.

Qualifications

3+ years of experience with the following:
HTML and CSS
JavaScript/jQuery
Basic Photoshop skills
Cross-browser functionality testing
Experience with Version Control (Git, SVN, CVS, etc.)

Bonus Points for:
Node.js
Data-binding frameworks like Angular.js and Backbone
JS Module patterns
AJAX
Server-side templating frameworks
JSTL
Pug/Jade
LESS or SASS/SCSS
Experience with Grunt/Gulp
Mobile Web Development

If you have a passion for clean, easily maintained front-end code and a desire to make an impact on customer experience, we think you’ll be in good company here at HomeAdvisor. Send us your resume so we can chat.

If you're interested in a career with us, we'd love to talk. If you have questions about any of our roles, talk with one of our Recruiters by signing up for our next chat: http://www.abouthomeadvisor.com/talk-to-us/",JavaScript,Boulder
https://www.themuse.com/jobs/derivesystems/frontend-developer,"Overview:
At Derive Systems, we believe that our team is our greatest asset in achieving future success. We are looking for an experienced front-end developer to design and develop desktop and mobile web applications using React. The ideal candidate has experience building a unified web experience from scratch. You will work within an agile team to deliver the best possible customer experience through web-based initiatives.

Responsibilities:
Collaborate with other teams to build shareable components that can serve multiple applications
Enable our product team to tap into valuable data sources and build incredible features for our customers
Actively participate in all projects and work together to build high-quality solutions
Present ideas in the form of brown bags to all engineers to help shape our technical landscape
Provide constructive feedback on pull requests to increase code quality
Minimum Qualifications:
5+ years of experience in web-based software development for publicly facing (direct to consumer) applications
Must be a JavaScript expert
Must have built web applications using modern front-end frameworks and libraries (React, Angular, Vue, Knockout, etc.)
Must have used modern build toolchains like webpack, parcel, gulp, etc.
Must have a portfolio of work that you have shipped to the world
Must be obsessed with delivering robust solutions to the market quickly but without sacrificing quality
Must be able to clearly explain technical concepts and make decisions with non-technical team members.
Exceptional collaboration, project management, writing, documentation, and collaboration
Familiar with limitations and features of modern browsers, frameworks, and front-end technologies
Must be a usability advocate and opposed to unnecessary complexity
Preferred Qualifications:
1+ years experience with React.js
Experience with node.js to build APIs
Experience with server-side rendered JavaScript applications
Knowledge of functional programming idioms as they relate to JavaScript and its ecosystem",JavaScript,Boulder
https://www.themuse.com/jobs/sendgrid/front-end-software-engineer-ii-marketing-campaigns,"As a Front End Engineer on our Marketing Campaigns team, you’ll utilize React and other modern JavaScript/CSS libraries to create an intuitive product that allows our customers to build, manage, and send their email campaigns.  You’ll work with a passionate, versatile, and collaborative team, tackling tough problems as we continue to push our technology forward. Additionally, you’ll have the opportunity to influence and implement architectural solutions that will enable us to achieve our goal of being the world’s most trusted communication platform.
Denver is our global headquarters and home to Marketing Campaigns, our second generation product - which your efforts will directly impact.
What You’ll Do
Live by and champion our cultural values of Happy, Hungry, Honest, and Humble
  Collaborate with other team members, including our UI/UX and Product teams, to help influence, own, and improve our current product offering
      Manage your work through the use of Github, Jira, and our build/deploy systems  
      Aid in the testing of our code and the delivery of what we create to production  
  Our stack includes: ReactJS with Redux, npm/yarn, Github, Jira, Chef, BuildKite, Docker, WebdriverIO
About You
Typically, 1-4 years of software development experience with a focus on user interfaces
Ideally you have a Bachelor’s in Computer Science
1+ years working in JavaScript, HTML5 and CSS3
You have passion for building engaging and intuitive user interfaces
Understanding of web architecture such as the DOM, HTTP, JSON, REST and how they play a part in application design",JavaScript,Boulder
https://www.themuse.com/jobs/workiva/senior-software-engineer-fe32fa,"Workiva is looking for a Senior Software Engineer to build a product that is revolutionizing the way people work. As part of the engineering team, you will work on the platform that powers solutions used by tens of thousands of customers. We’re looking for an enthusiast engineer who has a real passion for building and scaling applications using technologies such as AWS, React, Javascript, Dart, Python, etc. Every engineer has input into our product process and will have a real impact as part of small, nimble teams.
What You’ll Be Doing:
Collaborate with the engineering team to design, implement, and code review product and platform solutions
Work on any part of the stack - from very rich, complex H5 applications, to highly scalable distributed systems
Ship production code daily
Develop the product using agile development process.
Research and implement technology solutions for reliable, scalable, high-performing services
Mentor, coach, and help develop junior engineers
What We’re Looking For:
A team player to be a part of an inspiring team environment with an open communication culture
Strong experience across relevant technologies including Javascript, React, Dart, HTML5, Python, Clojure, etc.
Strong knowledge of AWS or Google App Engine
Experience as a full stack engineer
Working knowledge of source control systems including Git
Knowledge of object-oriented software design, development, and architectural principles
Innate desire to collaborate with strong communication skills and genuine curiosity
Bachelor’s degree in Computer Science, Engineering or a related field and 5+ years of experience in software development
Desire to innovate and be creative
Bonus Points:
Experience in Go
Experience using Dart and/or React
Experience with Docker or other container systems
Experience with Graph Databases
Where You’ll Work:
We're a fun, smart group that likes to celebrate our successes! We have been honored with numerous awards such as ‘2017 Most Innovative Company of the Year’ and ‘One of the Best Places to Work in IT’.
Check out our Muse Page
Check out our Tech Blog",JavaScript,Boulder
https://www.themuse.com/jobs/homeadvisor/front-end-developer-6a1c9a,"HomeAdvisor is looking for an experienced Front End Developer to join our Software Development team. In general, we are looking for someone who has experience working on public-facing web properties, and being part of a fast-paced, fun-loving team. Our environment can be fun, loose, iterative, and even chaotic at times - you've been warned.

What you will be doing:
Code every day in HTML, CSS, and JavaScript/jQuery to make our site highly interactive
Integrate client-side code with web services, social platforms, and our Java-based infrastructure
Produce pixel-perfect layouts and sites from mock-ups provided by key business partners in Creative Design, UX/UI, and Product Development
Work on progressive redesign and maintenance projects that have an immediate impact on how our customers experience our brand every day

Why we think you'll like working here:
HomeAdvisor.com is the industry-leading online marketplace connecting homeowners to pre-qualified home improvement resources in their area - a homeowner turns to HomeAdvisor every 5 seconds for help.
We're one of Denver's largest internet companies, and our employees have voted us to the Denver Post's list of Top Workplaces for 5 years running.
You have a direct impact on our customer experience every single day.
We're not afraid to make mistakes, and figure out how we can be better in time for the next release.

Qualifications

3+ years of experience with the following:
HTML and CSS
JavaScript/jQuery
Basic Photoshop skills
Cross-browser functionality testing
Experience with Version Control (Git, SVN, CVS, etc.)

Bonus Points for:
Node.js
Data-binding frameworks like Angular.js and Backbone
JS Module patterns
AJAX
Server-side templating frameworks
JSTL
Pug/Jade
LESS or SASS/SCSS
Experience with Grunt/Gulp
Mobile Web Development

If you have a passion for clean, easily maintained front-end code and a desire to make an impact on customer experience, we think you’ll be in good company here at HomeAdvisor. Send us your resume so we can chat.

If you're interested in a career with us, we'd love to talk. If you have questions about any of our roles, talk with one of our Recruiters by signing up for our next chat: http://www.abouthomeadvisor.com/talk-to-us/",JavaScript,Boulder
https://www.themuse.com/jobs/virta/software-engineer-frontend,"Software Engineer, Frontend
Virta is the first company with a clinically-proven treatment to safely and sustainably reverse type 2 diabetes and other chronic metabolic diseases without the use of medications or surgery. Our innovations in nutritional biochemistry, data science and digital tools combined with our clinical expertise are shifting the diabetes treatment paradigm from management to reversal. Our mission - to reverse type 2 diabetes in 100 million people by 2025.

As a Frontend engineer,  you will contribute to our patient-facing applications and clinical workflow tools. You will need to be adaptive and passionate about frontend technology, build efficient and reusable front-end systems and abstractions, help find and address performance issues and identify and communicate front-end best practices. You will have the opportunity to work across web and mobile frontend technology and take ownership of new and critical features central to the success of both our patients and mission.
Requirements:

2+ years shipping front-end code in high-quality production environments

Strong Javascript and web development skills

Experience with React or other such framework

Experience using Redux in a production environment



Awareness of cross-browser compatibility issues and client-side performance considerations

Experience with modern JavaScript libraries and tooling


Bonus Points For…


React Native experience

Solid knowledge of at least one server-side language (Python preferred; Ruby, PHP, go also considered)

UX and design sensibilities


Responsibilities:

Collaborate with Product and Design Engineers to iterate on the design and implementation of features on patient-facing applications.

Architect efficient and reusable front-end systems that drive complex web applications

Help identify and address performance issues

Contribute and promote front-end best practices across engineering team


90 Day Plan
Within your first 90 days at Virta, we expect you will do the following:


Code and ship at least one complex feature with full test coverage

Teach and inspire other engineering team members through knowledge sharing, pair programming, and/or giving feedback in code reviews

Propose and implement one or more process improvements to make our engineering team even better


Values-driven culture
Virta’s company values drive our culture, so you’ll do well if:


You put people first and take care of yourself, your peers, and our patients equally

You have a strong sense of ownership and take initiative while empowering others to do the same

You prioritize positive impact over busy work

You have no ego and understand that everyone has something to bring to the table regardless of experience

You appreciate transparency and promote trust and empowerment through open access of information

You are evidence-based and prioritize data and science over seniority or dogma

You take risks and rapidly iterate


 ",JavaScript,Boulder
https://www.themuse.com/jobs/ibotta/platform-engineer-core-services,"Ibotta is looking for a Platform Engineer with our Core Services team to come build something great with us. As part of the Core Services engineering team, you will help build the services and systems the rest of the engineering organization is built on. We're looking for a self-motivated engineer who has a real passion for building and scaling infrastructure using technologies such as JavaScript, Java and Spring, Spark with Scala, AWS Lambda, Redis, and DynamoDB. Every engineer has input into our product process and will have a real impact as part of a small, nimble team.
Here is what you’ll be doing:
Work with a cross-functional team to design and develop the systems and services that other engineers in the company can build on.
Use Amazon’s AWS infrastructure and advanced services daily
Identify and fix performance bottlenecks
Work with big data sets and thousands of events a minute.
Write tests and perform code reviews to ensure that we're shipping reliable, readable, and reusable code
Ship production code daily
Research and implement technology solutions for reliable, scalable, high-performing services
Here is what we’re looking for:
Bachelor’s degree in Computer Science, Engineering or a related field and 2+ years of experience in software development
We work with Java and JavaScript on this team the most, but we value people who can learn new languages and provide diverse perspectives on design and implementation.
Extensive knowledge of SQL and NoSQL type databases like MySQL, Aurora, DynamoDB, and Redis is valuable, but knowing when to use each is far more important.
You’re comfortable with Unix-like operating systems. You don’t have to be some command-line wizard, but you’re also not falling for sudo rm -rf / either.
You know how to use Git. You still consult the internet for more advanced topics but you can get around just fine.
Knowledge of object-oriented software design, development, and architectural principles
You have big opinions on how we should work but they’re loosely held. You’re receptive to other points of views and more than willing to reconsider your position in light of new evidence.
About Us:
Headquartered in Denver, CO, Ibotta (“I bought a...“) is transforming the shopping experience by making it easy for consumers to earn cash back on everyday purchases through a single smartphone app. The company partners with leading brands and retailers to offer rebates on groceries, electronics, clothing, gifts, home and office supplies, restaurant dining, and more. Ibotta is the premier destination for rewarded shopping on mobile and has paid out $340 million in cash back to its users. Launched in 2012, Ibotta has 28 million downloads and is one of the five most frequently used shopping apps in the United States.
To learn more about what our Tech teams are doing day to day, visit Building Ibotta on Medium.com.
Additional Details:
This position is located in Denver, CO and includes competitive pay, benefits package (including medical, dental, vision), 401k, commuter stipend, and equity.
Ibotta provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, and genetics.
Applicants must be currently authorized to work in the United States on a full-time basis.",JavaScript,Boulder
https://www.themuse.com/jobs/ibotta/platform-engineer-0dd60f,"Ibotta is looking for a Platform Engineer to come build something great with us. As part of the engineering team, you will work on the platform that powers our app that is used by millions of consumers. We're looking for a self-motivated engineer who has a real passion for building and scaling infrastructure using technologies such as Ruby on Rails, Spark with Scala, AWS Lambda with JavaScript, Redis, DynamoDB, and machine learning. Every engineer has input into our product process and will have a real impact as part of a small, nimble team.
Here is what you’ll be doing:
Work with a cross-functional team to design and develop new features that will be used by millions of users
Use Amazon’s AWS infrastructure and advanced services daily
Identify and fix performance bottlenecks
Work with big data sets (hundreds of millions of rows)
Write tests and perform code reviews to ensure that we're shipping reliable, readable, and reusable code
Ship production code daily
Implement serverless architectures
Research and implement technology solutions for reliable, scalable, high-performing services
Here is what we’re looking for:
Bachelor’s degree in Computer Science, Engineering or a related field and 2+ years of experience in software development
Strong experience across relevant technologies including Ruby, Java, JavaScript, Scala, PHP, Python, etc.
Strong knowledge of MySQL, Postgres, or other RDBMS
Working knowledge of Unix/Linux
Working knowledge of source control systems including Git
Knowledge of object-oriented software design, development, and architectural principles
Nice to have:
Building APIs for internal or external applications
Ruby on Rails
Experience with AWS technologies such as DynamoDB, Kinesis, Elastic MapReduce, or Lambda
Big data technologies such as Spark, Hadoop, etc.
Machine learning
Automated testing using tools such as RSpec or JUnit
Scrum/Agile development
About Us:
Headquartered in Denver, CO, Ibotta (“I bought a...“) is transforming the shopping experience by making it easy for consumers to earn cash back on everyday purchases through a single smartphone app. The company partners with leading brands and retailers to offer rebates on groceries, electronics, clothing, gifts, home and office supplies, restaurant dining, and more. Ibotta is the premier destination for rewarded shopping on mobile and has paid out $340 million in cash back to its users. Launched in 2012, Ibotta has 28 million downloads and is one of the five most frequently used shopping apps in the United States.
To learn more about what our Tech teams are doing day to day, visit Building Ibotta on Medium.com.
Additional Details:
This position is located in Denver, CO and includes competitive pay, benefits package (including medical, dental, vision), 401k, commuter stipend, and equity.
Ibotta provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, and genetics.
Applicants must be currently authorized to work in the United States on a full-time basis.",JavaScript,Boulder
https://www.themuse.com/jobs/ibotta/senior-software-engineer-e37a08,"Ibotta is looking for a Senior Software Engineer to come build something great with us. As part of the engineering team, you will work on the platform that powers our app that is used by millions of consumers. We're looking for a self-motivated engineer who has a real passion for building and scaling infrastructure using technologies such as Ruby on Rails, Spark with Scala, AWS Lambda with JavaScript, Redis, DynamoDB, and machine learning. Every engineer has input into our product process and will have a real impact as part of a small, nimble team.
Here is what you’ll be doing:
Work with a cross-functional team to design and develop new features that will be used by millions of users
Use Amazon’s AWS infrastructure and advanced services daily
Identify and fix performance bottlenecks
Work with big data sets (hundreds of millions of rows)
Write tests and perform code reviews to ensure that we're shipping reliable, readable, and reusable code
Ship production code daily
Implement serverless architectures
Research and implement technology solutions for reliable, scalable, high-performing services
Here is what we’re looking for:
Bachelor’s degree in Computer Science, Engineering or a related field and 5+ years of experience in software development
Strong experience across relevant technologies including Ruby, Java, JavaScript, Scala, PHP, Python, etc.
Strong knowledge of MySQL, Postgres, or other RDBMS
Working knowledge of Unix/Linux
Working knowledge of source control systems including Git
Knowledge of object-oriented software design, development, and architectural principles
Nice to have:
Ruby on Rails
Building APIs for internal or external applications
Experience with AWS technologies such as DynamoDB, Kinesis, Elastic MapReduce, or Lambda
Big data technologies such as Spark, Hadoop, etc.
Machine learning
Automated testing using tools such as RSpec or JUnit
Scrum/Agile development
About Us:
Headquartered in Denver, CO, Ibotta (“I bought a...“) is transforming the shopping experience by making it easy for consumers to earn cash back on everyday purchases through a single smartphone app. The company partners with leading brands and retailers to offer rebates on groceries, electronics, clothing, gifts, home and office supplies, restaurant dining, and more. Ibotta is the premier destination for rewarded shopping on mobile and has paid out more than $250 million in cash back to its users. Launched in 2012, Ibotta has 23 million downloads and is one of the five most frequently used shopping apps in the United States.
To learn more about what our Tech teams are doing day to day, visit Building Ibotta on Medium.com.
Additional Details:
This position is located in Denver, CO and includes competitive pay, benefits package (including medical, dental, vision), 401k, commuter stipend, and equity.
Ibotta provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, and genetics.
Applicants must be currently authorized to work in the United States on a full-time basis.",JavaScript,Boulder
https://www.themuse.com/jobs/esri/platform-configuration-engineer-transportation,"Overview
The ArcGIS platform is a series of capabilities that bring together maps, apps, data, and people to make smarter decisions and enable innovation.

Esri’s Professional Services Division plays a crucial role in the innovation of the ArcGIS platform. Our mission is simple yet powerful: 1) enable user success, 2) broaden the impact of GIS, and 3) push our platform to make our technology better.

You will work closely with clients to establish solutions to 1) make them successful, 2) broaden the effect of GIS technology to their business, and 3) help shape the evolution of the platform by identifying new implementation patterns.

Responsibilities:

Enable users to be successful
Work closely with customers and partners to identify, design, and certify key GIS workflows for the ArcGIS platform
Provide platform configuration guidance and best practices to customers
Understand how Esri’s technology integrates/interfaces with customers' solutions vision 
Grow business
Communicate ArcGIS technologies to technical and non-technical customers
Be able to understand, create, and explain new data products created by spatial analysis
Proactively craft and propose solutions that clarify how GIS brings business value to address critical business challenges faced by customers
Present complex GIS technical demonstrations to various levels of staff in a diverse range of customer organizations 
Push technology/platform
Research and interface with the latest web development technologies (JavaScript, HTML5, GitHub, Python, iOS, Android, Grunt, Node.JS)
Possess a desire to immerse yourself in location-based problem solving
Push the boundaries of current mapping technology for some of the largest organizations in the world 
Optimize performance and organization
Collaborate internally to help customer organizations align their technical objectives and business goals with Esri’s technology platform
Prepare and present high-quality business and technically-related documentation
Communicate best practices for building and maintaining enterprise geodatabases
Requirements
5+ years of experience designing, implementing, and/or administrating enterprise GIS solutions/systems that leverage the ArcGIS platform (desktop, server, and online)
Experience with Esri software including ArcGIS Enterprise, ArcGIS Desktop, ArcGIS Online, Portal for ArcGIS, and ArcGIS Runtime and their associated APIs or interfaces
Programming and scripting experience with Python, JavaScript, and HTML5
Knowledge of geospatial and mapping concepts such as spatial analysis, map projections, etc.
Experience with current technology implementation patterns including service-oriented and cloud
Experience integrating software solutions with other business systems including data warehousing, BI, CRM, ERP, and analytics platform
Strong, persuasive communication skills
Ability to clearly communicate technical ideas, whether to other technical peers or non-technical project managers or customers
Bachelor’s or master’s in geography, computer science, engineering, mathematics, GIS, or a related field
The Company
Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.
 Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.
 Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.
 If you need a reasonable accommodation for any part of the employment process, please email humanresources@esri.com and let us know the nature of your request and your contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.",JavaScript,Boulder
